location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.46681205895787,44.14889308633037,48.34%,81.14%,80.21%,161494,27660200
Los Angeles,102.88859754986721,60.7545779761479,40.95%,76.08%,75.81%,125357,22542520
Chicago,63.34076696438958,32.474038808318326,48.73%,80.17%,79.72%,60889,11131015
Houston,54.194196892902234,38.325222519691536,29.28%,62.59%,63.42%,73742,15944618
Phoenix,61.611588109135035,32.33007604123861,47.53%,72.46%,72.59%,22925,4225939
Philadelphia,54.56053089967887,34.90763056505354,36.02%,73.42%,72.05%,33973,7468694
San Antonio,45.58311617744357,29.002473657840255,36.37%,68.25%,68.76%,33357,6048433
San Diego,78.47467970143653,43.29309496125925,44.83%,79.52%,79.46%,30260,4556538
Dallas,63.470152129241264,39.72420136484657,37.41%,65.83%,64.11%,29871,6371976
San Jose,59.579341624689675,29.06281150061494,51.22%,84.25%,84.63%,13608,2095212
Austin,72.74503259345241,38.09713911476701,47.63%,74.17%,74.73%,29124,4741821
Jacksonville,47.01901540193337,35.948504220348404,23.54%,43.77%,54.03%,658,80461
Fort Worth,52.0950436626392,34.22743714462345,34.30%,63.23%,63.42%,14321,2438981
Columbus,44.14780182789095,24.655893286190707,44.15%,70.07%,69.75%,20016,4019598
San Francisco,113.41977751229389,45.33935725028011,60.03%,91.22%,91.12%,31483,4384651
Charlotte,57.06325041041476,32.49260405188594,43.06%,66.04%,65.90%,18172,3874435
Indianapolis,47.13448071619753,26.292386014167924,44.22%,71.06%,70.93%,16026,2951349
Seattle,97.82540027368907,35.32928906288408,63.89%,92.47%,92.56%,20574,3418126
Denver,80.91701320493051,40.65718839379055,49.75%,78.52%,78.60%,14840,2436107
Washington,80.00400709470333,43.556195614285265,45.56%,84.11%,84.10%,39348,6787063
Boston,74.98985342513518,34.28567036995112,54.28%,84.88%,83.60%,20954,3102297
El Paso,51.47597585816213,32.74234909090876,36.39%,75.59%,76.56%,9345,1580552
Detroit,54.10573523162449,43.79247143942769,19.06%,64.86%,61.27%,9804,2165890
Nashville,72.04961256239166,37.660498601344294,47.73%,69.93%,70.16%,18854,3506454
Portland,79.15538958884977,36.893372016359294,53.39%,86.72%,85.70%,15874,3369104
Memphis,49.84333207595222,31.751769905802973,36.30%,66.47%,63.94%,10951,2436654
Oklahoma City,45.66697733435034,26.633813954440043,41.68%,65.38%,67.60%,8846,1666108
Las Vegas,84.58864039920834,58.473620980636106,30.87%,63.75%,65.59%,16556,2726000
Louisville,45.55404494960606,25.29050993853674,44.48%,68.49%,67.97%,6892,1242708
Baltimore,45.267099609555686,26.506937953072672,41.44%,71.80%,72.73%,12649,2894067
Milwaukee,53.98365929911387,31.785184253175327,41.12%,72.53%,72.75%,7711,1513458
Albuquerque,50.85671390130944,25.27148438990474,50.31%,81.68%,81.43%,6379,1017865
Tucson,51.72292583490887,29.59376073379747,42.78%,71.22%,72.93%,7525,1184816
Fresno,37.701468440776324,21.465971783613853,43.06%,65.36%,69.13%,7629,1282623
Mesa,48.5507584303834,34.08474039171293,29.80%,73.31%,72.63%,5170,875733
Sacramento,61.278080785064965,42.83236512297292,30.10%,71.95%,73.70%,8879,1462783
Atlanta,89.59708715273851,58.638358311273436,34.55%,59.09%,57.53%,31693,6158275
Kansas City,60.80890558046311,31.86640393594283,47.60%,71.89%,71.39%,9346,1597836
Colorado Springs,64.2454835651561,37.62743002735861,41.43%,75.33%,79.50%,4819,781248
Miami,112.59020522270896,79.00348813334156,29.83%,67.21%,66.80%,21381,2128981
Raleigh,51.93121774901842,27.816191923341787,46.44%,70.04%,71.39%,10382,1647363
Omaha,49.835832934417276,28.948566080099422,41.91%,74.01%,74.40%,8222,1146783
Long Beach,54.942082049547835,32.66456162175954,40.55%,67.78%,69.15%,9867,1798648
Virginia Beach,50.06666186086405,34.19407623826866,31.70%,73.85%,73.90%,6456,1172686
Oakland,86.28199195709439,34.38442293509346,60.15%,84.40%,84.86%,9512,1960077
Minneapolis,68.92431575478307,32.09008004980063,53.44%,82.89%,81.88%,10869,1881568
Tulsa,50.233227142335814,30.32895907166675,39.62%,71.86%,69.27%,4851,834407
Arlington,55.471282627007845,30.115602416233195,45.71%,74.89%,74.73%,13408,2366874
Tampa,71.4081550253881,39.52734077850919,44.65%,70.94%,70.64%,9893,1558939
New Orleans,55.45387172237435,34.36002820024765,38.04%,64.11%,62.66%,16518,4070002
Wichita,38.92756657477226,23.413178943751817,39.85%,65.83%,60.68%,5225,701173
Cleveland,53.69902154523098,35.5860173995738,33.73%,60.04%,57.95%,9144,1949378
Bakersfield,38.65354207209089,26.110581545635966,32.45%,60.18%,61.42%,5388,892610
Aurora,43.152330711,15.220180424758547,64.73%,77.85%,80.39%,687,61360
Anaheim,65.23670031586632,35.302563730927936,45.89%,65.89%,65.66%,8028,946905
Honolulu,138.77903618146803,71.39734450725199,48.55%,82.96%,80.44%,11104,1107491
Santa Ana,44.203040371557435,22.470799217348763,49.16%,65.02%,63.55%,2858,422067
Riverside,44.95112207845054,30.729716620239223,31.64%,67.12%,66.73%,5706,811892
Corpus Christi,49.06335686782554,36.455980444357486,25.70%,55.69%,56.09%,4941,729248
Lexington,41.0563153703979,25.540920947259085,37.79%,62.87%,62.55%,1162,157348
Stockton,40.737983325048305,30.601300161381364,24.88%,55.75%,59.98%,3407,583204
Henderson,70.81988830489036,43.090699459298584,39.15%,68.05%,69.20%,5121,1063541
St Paul,56.41926343263235,24.220247376634525,57.07%,86.77%,85.22%,4140,702491
St Louis,55.687697166540865,28.39097181704844,49.02%,82.34%,80.09%,6816,1200038
Cincinnati,53.561145891340466,24.15585878092562,54.90%,70.09%,68.06%,6619,1034512
Pittsburgh,53.669964332648895,27.52353860024676,48.72%,79.92%,78.65%,8569,1600024
Greensboro,36.26256582755776,25.950361582532665,28.44%,57.01%,58.38%,6821,1752593
Anchorage,109.20307274472412,50.95727114682219,53.34%,92.46%,88.95%,3378,639203
