location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.41360876233149,44.65725178939029,47.72%,81.06%,79.64%,161986,27948216
Los Angeles,102.86078686193257,61.01546460615627,40.68%,75.84%,74.42%,125867,22735622
Chicago,63.34699035325885,32.886104714323274,48.09%,79.63%,78.68%,61113,11259320
Houston,54.20789871924826,39.02913740364396,28.00%,61.81%,62.12%,74079,16121927
Phoenix,61.60860838887586,32.624879268664586,47.04%,71.93%,71.28%,23035,4269435
Philadelphia,54.54858652627311,35.31119658694669,35.27%,73.44%,71.97%,34080,7534466
San Antonio,45.59164065769491,29.372386696744712,35.58%,67.41%,67.62%,33477,6094542
San Diego,78.49144477783813,43.422217935657756,44.68%,79.21%,77.89%,30385,4604110
Dallas,63.533005345486174,40.53932081408511,36.19%,64.87%,63.32%,30038,6425897
San Jose,59.56557643015841,29.275985549466682,50.85%,84.22%,84.15%,13661,2113699
Austin,72.68622765736737,38.447368454746425,47.11%,73.75%,73.84%,29229,4789642
Jacksonville,46.98490140542741,35.36441443584264,24.73%,42.04%,40.89%,663,80691
Fort Worth,51.974758647640336,34.62944247773434,33.37%,62.81%,62.12%,14343,2458494
Columbus,44.08515394221828,24.917814155323956,43.48%,69.71%,68.85%,20077,4039286
San Francisco,113.25853167623362,45.60505339527446,59.73%,91.24%,90.45%,31552,4422277
Charlotte,57.07328257445691,32.74396066081471,42.63%,66.34%,65.30%,18253,3916123
Indianapolis,47.19266108929119,26.594225341660533,43.65%,71.17%,70.23%,16107,2986524
Seattle,97.6888207015137,35.77091517413884,63.38%,92.47%,92.36%,20628,3448871
Denver,80.89049884358377,40.7997150842476,49.56%,78.62%,78.69%,14924,2472734
Washington,79.9914412795209,43.84345694618445,45.19%,83.86%,83.22%,39464,6834700
Boston,74.66883613708963,35.096135920635106,53.00%,84.64%,82.75%,21037,3132390
El Paso,51.36582559098214,33.03194265280041,35.69%,74.96%,76.55%,9369,1593566
Detroit,54.170982921819615,44.09352476989747,18.60%,63.99%,61.11%,9853,2184938
Nashville,72.11780447768066,37.74251685255132,47.67%,69.50%,69.39%,18918,3540228
Portland,79.11372151523074,36.86738280055251,53.40%,86.75%,85.86%,15920,3403989
Memphis,49.842680661668275,31.909946333602644,35.98%,66.03%,64.40%,11012,2463843
Oklahoma City,45.67790538156246,27.25984427770375,40.32%,65.15%,65.77%,8887,1680243
Las Vegas,84.69972532989198,58.48389810677509,30.95%,63.69%,64.51%,16642,2757364
Louisville,45.55859800995277,25.568866691803212,43.88%,68.65%,68.07%,6921,1254318
Baltimore,45.38785917079079,26.560115270191144,41.48%,71.78%,72.11%,12701,2922088
Milwaukee,54.03579516691321,32.21537855448335,40.38%,71.55%,71.57%,7743,1527987
Albuquerque,50.881685910402425,25.653475525926314,49.58%,80.64%,79.02%,6404,1023312
Tucson,51.62684638283813,29.88453377771688,42.11%,70.97%,71.38%,7553,1195636
Fresno,37.705886671315476,21.66439293279583,42.54%,65.83%,68.27%,7667,1293903
Mesa,48.19791981864652,33.76813514330908,29.94%,70.42%,67.70%,5172,879161
Sacramento,61.50181481343504,43.308013213934935,29.58%,71.75%,71.80%,8913,1477719
Atlanta,89.69512767215903,58.94352494161824,34.28%,58.60%,57.18%,31896,6217268
Kansas City,60.81580597442287,31.984589585718574,47.41%,71.89%,71.10%,9386,1614758
Colorado Springs,64.24878052196289,38.26039916934661,40.45%,75.39%,74.84%,4838,786940
Miami,112.53971438639566,79.1241562834803,29.69%,66.81%,64.70%,21547,2153807
Raleigh,51.90811655472448,27.869977316778645,46.31%,70.02%,71.02%,10404,1666567
Omaha,49.84142996360123,29.097047749062384,41.62%,74.24%,74.19%,8238,1157414
Long Beach,54.971484408026974,32.928950319205356,40.10%,67.73%,67.63%,9888,1813981
Virginia Beach,50.02371948472368,34.710284698579514,30.61%,73.77%,73.21%,6481,1182402
Oakland,86.31774804150616,34.470590358972764,60.07%,83.90%,84.07%,9523,1989038
Minneapolis,68.91210971795428,32.273530682378826,53.17%,82.86%,81.87%,10904,1900618
Tulsa,50.210046889861324,30.517255920325866,39.22%,71.45%,68.80%,4879,844339
Arlington,55.55132715949345,30.454435516236888,45.18%,74.12%,73.37%,13454,2377295
Tampa,71.35258974080931,39.843227191877055,44.16%,71.07%,69.27%,9958,1574835
