location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.28230786340455,51.65975881369719,39.42%,74.31%,72.28%,185797,33559088
Los Angeles,102.8667184669718,69.78489767508964,32.16%,68.65%,67.54%,144725,27573155
Chicago,63.60542396199612,39.85517179489909,37.34%,72.04%,71.15%,70372,13762888
Houston,53.924593718260795,44.77103213655365,16.97%,55.98%,55.57%,85771,19557430
Phoenix,61.245658836501754,38.26645538825952,37.52%,65.96%,64.58%,26661,5162812
Philadelphia,54.497818330628526,40.07853724699606,26.46%,67.02%,65.71%,39004,9244619
San Antonio,45.75138942877672,34.622969404132874,24.32%,61.62%,62.03%,38584,7313957
San Diego,79.29827382805476,51.092729841843465,35.57%,73.52%,72.65%,34905,5594345
Dallas,64.88792222727346,46.61644024559229,28.16%,58.02%,56.69%,34849,7698359
San Jose,60.179665245229046,36.71229967782123,39.00%,80.13%,79.66%,15539,2551651
Austin,72.77158427477633,44.65929414545779,38.63%,67.76%,67.15%,33527,5884859
Jacksonville,47.00981803757104,40.00199404104377,14.91%,40.81%,40.81%,754,96913
Fort Worth,51.87419070362535,40.72841825264857,21.49%,55.61%,55.08%,16552,2975731
Columbus,44.21033661317657,30.374580508728968,31.30%,63.14%,62.68%,22912,4838882
San Francisco,112.05768172307013,53.28694500787631,52.45%,86.47%,85.40%,35890,5324217
Charlotte,58.028968225137824,39.90788048551423,31.23%,59.32%,59.41%,21060,4770617
Indianapolis,46.3899550843501,31.143251400274163,32.87%,62.68%,62.54%,18511,3583938
Seattle,98.01312112305685,44.494987221546495,54.60%,86.67%,86.56%,23687,4234621
Denver,81.15066613879983,48.70776342445684,39.98%,71.99%,71.82%,17414,3093334
Washington,80.8352348219904,52.4321123617115,35.14%,78.01%,76.88%,44909,8133951
Boston,74.11111906321185,41.439652650622286,44.08%,77.37%,76.18%,23954,3719705
El Paso,50.86711547563177,38.80475604048807,23.71%,67.96%,69.03%,10705,1905519
Detroit,53.39698480529546,48.98946971054622,8.25%,53.51%,52.07%,11385,2613665
Nashville,72.92700824142105,45.33246384781751,37.84%,63.07%,61.31%,21761,4262123
Portland,79.50029275004945,44.726246618713006,43.74%,80.70%,79.65%,18299,4157465
Memphis,49.346553219503754,37.20787641132181,24.60%,60.14%,58.69%,12698,2890220
Oklahoma City,45.57627409877633,32.487062069009745,28.72%,57.06%,57.81%,10210,2038327
Las Vegas,83.8428256288466,64.27851260957496,23.33%,57.65%,58.21%,19371,3411205
Louisville,45.732036130428284,31.174694382370248,31.83%,61.31%,60.75%,7943,1518771
Baltimore,46.00855906359932,31.58032892702496,31.36%,65.40%,64.66%,14618,3566922
Milwaukee,52.798078047817924,37.1053278645611,29.72%,58.71%,58.42%,9046,1858700
Albuquerque,51.759240041980256,34.05341758176517,34.21%,70.86%,70.26%,7394,1282287
Tucson,53.63625626566714,37.13820282593205,30.76%,65.07%,64.73%,8676,1463140
Fresno,37.78432421322611,27.091766714848625,28.30%,57.11%,59.38%,8765,1569458
Mesa,47.4455181715915,35.88976889018593,24.36%,61.70%,60.93%,5916,1017527
Sacramento,62.83203663949748,52.61214204479063,16.27%,66.53%,66.45%,10296,1882830
Atlanta,89.12409907616801,66.67346481492865,25.19%,52.01%,50.70%,37133,7572669
Kansas City,61.07648639694986,39.82301836821635,34.80%,64.69%,63.13%,10815,1966449
Colorado Springs,63.861874534982796,42.972649142653644,32.71%,71.48%,71.88%,5563,914987
Miami,114.53079537161724,87.61229011111307,23.50%,60.46%,59.61%,25790,2696046
Raleigh,52.46639465558399,32.29727584837781,38.44%,63.70%,64.07%,11892,2063898
Omaha,49.75348731827845,34.517019297969874,30.62%,67.27%,67.40%,9500,1401381
Long Beach,56.07990657107111,37.325401685034045,33.44%,61.59%,60.50%,11346,2246961
Virginia Beach,50.57885836181086,40.21953584929536,20.48%,65.71%,64.20%,7373,1422819
Oakland,86.71173269421607,43.549044220069526,49.78%,77.87%,78.03%,10838,2389520
Minneapolis,68.68386659496494,37.70840759273312,45.10%,74.17%,73.30%,12541,2330638
Tulsa,50.141792586566964,34.97027093040597,30.26%,64.10%,62.40%,5643,1050225
Arlington,56.079662321191734,34.81333158857769,37.92%,69.09%,68.94%,15460,2834114
Tampa,71.1245968978038,44.81043401777952,37.00%,66.06%,65.00%,11516,1966925
New Orleans,56.447112278248866,41.453538647075106,26.56%,57.54%,57.18%,19004,4939382
Wichita,39.236391887414726,28.25677081442317,27.98%,58.82%,56.14%,6019,866430
Cleveland,53.3399996979619,41.88793161787552,21.47%,51.46%,49.95%,10595,2387897
Bakersfield,39.31202155927079,34.614528323419606,11.95%,53.80%,53.77%,6184,1080834
Aurora,42.308990164503285,21.4479592126836,49.31%,72.31%,72.93%,785,75411
Anaheim,65.4189930325378,43.05719287177391,34.18%,59.01%,59.08%,9057,1124334
Honolulu,139.73938603651808,97.79302531054527,30.02%,73.15%,69.47%,12997,1336146
Santa Ana,46.14957440977021,27.522011965004182,40.36%,59.95%,59.59%,3241,502653
Riverside,45.05545156600446,38.086234184418686,15.47%,58.51%,59.25%,6555,985237
Corpus Christi,48.75828377788123,40.39630732667831,17.15%,47.71%,48.66%,5713,884552
Lexington,41.99713702492668,27.75836872520636,33.90%,54.42%,53.56%,1323,183408
Stockton,41.539512753429825,34.53931009169689,16.85%,52.91%,54.04%,3872,717680
Henderson,72.22319121928652,51.14001628441576,29.19%,63.28%,63.96%,5918,1307933
St Paul,55.83988261428986,29.599245115010298,46.99%,78.77%,76.04%,4704,869716
St Louis,55.059271937918346,34.4077482512494,37.51%,72.81%,72.17%,7915,1508992
Cincinnati,55.2017172291667,30.59794294918024,44.57%,63.66%,63.19%,7635,1269092
Pittsburgh,53.98995512732239,33.951048661343286,37.12%,74.85%,72.51%,9869,1937249
Greensboro,36.65526094333086,31.84489944263959,13.12%,50.67%,51.36%,7747,2039343
Anchorage,111.27273021918761,67.26934772985909,39.55%,76.91%,75.56%,3900,767281
Plano,60.36950869390975,38.638448604874675,36.00%,70.57%,69.68%,4734,917283
Lincoln,54.22943900432578,36.25691159304275,33.14%,60.50%,62.18%,6237,734208
Orlando,92.7511493419152,67.09436500743907,27.66%,57.56%,55.73%,15131,2369026
Irvine,78.52393533940445,48.62015916777625,38.08%,75.82%,74.78%,4946,829220
Newark,53.4713094038511,34.06145235368893,36.30%,58.10%,58.15%,6858,1280965
Toledo,39.606118575566185,31.132113063285093,21.40%,60.73%,61.47%,4159,778925
