location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
AK,111.87352526426795,48.17651175469604,56.94%,94.47%,89.71%,6002,798708
AL,47.96769555056851,33.022376143307646,31.16%,53.12%,53.67%,46032,7493710
AR,50.610444539407894,32.817538863957054,35.16%,63.02%,65.41%,23761,3304324
AZ,63.07773672169968,32.91600529277037,47.82%,74.83%,75.17%,79975,11410768
CA,78.33327467489784,41.60763820508029,46.88%,78.30%,78.67%,565627,84418399
CO,72.373140973964,35.44827294619717,51.02%,80.16%,80.53%,56789,7395998
CT,45.857528926815384,20.994383079637352,54.22%,79.22%,78.13%,30639,4873219
DC,77.95218399149938,33.256502246647,57.34%,89.65%,88.43%,33055,5524529
DE,43.093473349796966,23.946078622510885,44.43%,68.89%,68.09%,9254,1775535
FL,77.03562351020825,46.36814705886599,39.81%,67.90%,68.20%,255303,37492243
GA,65.5886615637268,41.91028395127894,36.10%,56.70%,58.15%,138834,25651001
HI,146.44739934699112,79.52823258933658,45.70%,84.52%,82.85%,22975,2363352
IA,49.77298323187127,27.55338401022545,44.64%,71.85%,70.96%,29712,3393154
ID,71.60916564659532,41.63949649731165,41.85%,63.36%,65.96%,10640,1375227
IL,55.57771186773613,28.533310832254877,48.66%,80.49%,79.38%,135629,19097951
IN,46.00768788446583,26.866357585728608,41.60%,71.35%,72.19%,70937,9139021
KS,64.72384912709717,36.32637278423974,43.87%,69.34%,69.99%,32369,3660014
KY,44.211500350513674,25.951665791272745,41.30%,68.10%,68.51%,43521,5726122
LA,46.022412183483574,32.40128169330664,29.60%,54.87%,56.83%,62615,13866515
MA,58.66573461728455,24.979392045182784,57.42%,84.59%,82.27%,76375,10614047
MD,46.056270764830636,23.60760867269327,48.74%,76.50%,76.94%,72743,12844725
ME,59.804744076361295,31.187331594061057,47.85%,74.05%,72.32%,8402,1229529
MI,56.37021976872692,34.647565323974106,38.54%,72.69%,71.28%,87100,12241787
MN,63.98589275999643,29.642383372159227,53.67%,79.04%,77.33%,48403,6099257
MO,52.323030320162935,29.931961209811558,42.79%,73.11%,74.67%,56414,7513645
MS,50.139709058418006,35.955086400782044,28.29%,49.93%,50.52%,25791,4541653
MT,70.33124969590446,44.60480917322196,36.58%,62.58%,57.56%,5857,695396
NC,52.4576656163816,30.21855543514265,42.39%,67.61%,67.70%,109041,16937151
ND,66.05915330415364,36.082782016399285,45.38%,72.58%,74.25%,6033,619609
NE,55.434697544812614,32.2745438729952,41.78%,71.68%,70.65%,21693,2257618
NH,54.76404312465894,24.229560071234513,55.76%,77.72%,76.18%,9768,1296357
NJ,49.2175545185331,23.266102295539685,52.73%,79.82%,78.13%,89365,13191086
NM,57.721609696750356,32.68001379701235,43.38%,74.22%,75.40%,15974,2321390
NV,79.9743443786939,50.24900226923592,37.17%,69.85%,70.08%,54703,8113497
NY,71.10006143093838,34.90445001466301,50.91%,82.40%,81.43%,260999,42368985
OH,44.94457590809608,25.98765170119104,42.18%,70.29%,70.19%,132483,19158692
OK,52.145015745429255,33.36878203128475,36.01%,60.65%,62.67%,40270,5324690
OR,70.75647109077414,35.10633382152276,50.38%,79.69%,80.12%,40431,6502607
PA,54.41845768932375,31.245696574846924,42.58%,72.33%,72.48%,122632,19506985
PR,46.74835394751248,23.993193537789768,48.68%,81.58%,78.74%,7995,1232127
RI,47.2388917952041,18.848160902205983,60.10%,82.13%,79.97%,10913,1642808
SC,48.37979114703451,29.782983024618613,38.44%,61.15%,60.08%,46593,7036722
SD,68.87612233239082,42.737970226828715,37.95%,63.98%,63.74%,6599,744013
TN,57.14950858619192,33.46408277450954,41.44%,66.86%,66.77%,78536,11583064
TX,73.28577119198266,42.35999345066185,42.20%,65.37%,65.67%,439834,68808310
UT,68.74361431673397,34.60344589683145,49.66%,74.84%,78.40%,25882,3179482
VA,57.81607255349802,32.26024466686455,44.20%,72.80%,72.02%,91344,14893714
VI,134.73295396981888,72.66815791111132,46.07%,94.13%,94.58%,725,92712
VT,58.898578816257725,29.753065386272052,49.48%,82.19%,78.93%,4269,581492
WA,75.33053108237436,31.00627679221145,58.84%,85.41%,86.27%,73402,10583460
WI,56.42019575104997,29.696736421490158,47.37%,73.74%,74.18%,38752,5191793
WV,46.695793766317216,30.12765280617046,35.48%,58.36%,60.62%,14965,1775866
WY,71.3589599326067,52.51800849465582,26.40%,50.53%,56.14%,3459,433973
United States,65.5733497961681,36.476228105135725,44.37%,72.71%,72.67%,4073806,592624370
