location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.77965870304665,39.95724708341521,53.42%,88.60%,85.98%,168528,24668008
Los Angeles,102.86604808316834,54.59137025156821,46.93%,84.52%,82.75%,129030,20350078
Chicago,63.77851768293711,28.764121643446117,54.90%,87.09%,84.34%,63027,10009275
Houston,53.90026708433086,34.015491662309664,36.89%,72.60%,73.27%,74632,14230871
Phoenix,60.58787794005547,27.992175986006316,53.80%,80.35%,81.51%,23384,3684401
Philadelphia,55.142232924620174,31.652090120696897,42.60%,79.56%,80.87%,34306,6708495
San Antonio,45.37085935774353,26.551936366522217,41.48%,77.70%,77.68%,34235,5442449
San Diego,79.34542512221944,39.51080648206815,50.20%,87.69%,88.40%,31560,4077543
Dallas,64.1892097066976,35.05222297265781,45.39%,75.89%,73.77%,30146,5572613
San Jose,60.43042225237828,24.134498447364695,60.06%,89.16%,89.61%,14065,1972333
Austin,72.55306824160535,35.26677478845002,51.39%,83.41%,83.86%,30174,4363435
Jacksonville,48.08672634034963,35.244210163941325,26.71%,52.17%,55.52%,671,75832
Fort Worth,51.21315169525737,31.06689040499248,39.34%,71.01%,72.20%,14694,2194277
Columbus,44.51630302526019,23.8877843419161,46.34%,76.63%,77.20%,20670,3575264
San Francisco,113.41524601851252,41.95309363432521,63.01%,95.58%,94.49%,33293,3945372
Charlotte,57.80421639529651,30.57697151667232,47.10%,75.29%,75.89%,18548,3420141
Indianapolis,46.50300792565784,23.381483506361793,49.72%,79.23%,80.02%,16617,2633950
Seattle,98.94586656053549,30.690078329775236,68.98%,95.98%,94.83%,21527,3058257
Denver,81.70799473247632,36.553091091499844,55.26%,83.46%,83.16%,15304,2128165
Washington,80.13863568175302,34.315777868070946,57.18%,90.29%,89.26%,40908,6083570
Boston,75.6017263573772,32.07528781194963,57.57%,88.66%,85.84%,22074,2811495
El Paso,50.93734065923983,29.20585719993456,42.66%,87.69%,91.84%,9536,1446016
Detroit,53.919740575268285,40.20715128972603,25.43%,71.98%,66.01%,9915,1891457
Nashville,72.80954986132025,35.882649389432956,50.72%,79.33%,78.91%,19715,3108786
Portland,78.79233873966058,34.63023339730578,56.05%,90.90%,87.47%,16358,2982598
Memphis,48.29177428536604,29.86407191516287,38.16%,73.94%,72.23%,11064,2069449
Oklahoma City,46.276118533845725,26.118035072392647,43.56%,71.82%,72.78%,9075,1461942
Las Vegas,82.80712150708966,51.902132212657705,37.32%,73.48%,73.82%,16761,2436365
Louisville,46.06783443427205,22.33537398215316,51.52%,77.36%,78.31%,7179,1089946
Baltimore,45.1134309769732,21.922060690991014,51.41%,78.79%,80.80%,12842,2632545
Milwaukee,52.86130962188947,28.00854957001367,47.02%,81.56%,78.15%,7947,1298457
Albuquerque,51.310792059583775,23.377385683652022,54.44%,88.04%,89.39%,6583,936776
Tucson,53.7883416512698,27.506554348083046,48.86%,81.19%,77.89%,7706,1065007
Fresno,37.57498037513878,18.47802198794738,50.82%,75.42%,77.35%,7826,1208248
