location,mobility_before_distancing,mobility_after_distancing,reduction,num_users,num_records
AK,84.74537513620564,31.4878806991208,0.6284413084665398,5583,549569
AL,37.46127615067246,23.625521622175118,0.3693348425411017,42595,5334231
AR,39.18753120337418,22.335097172060248,0.4300458210509286,21770,2288874
AZ,47.297564005359824,25.36791668908365,0.4636527858769022,73628,7659026
CA,59.46756909258691,28.637151680169588,0.5184408557951392,518246,56934302
CO,54.205928317703496,23.823905656381996,0.5604926177677658,52355,5022704
CT,34.15733407941271,15.352622947612263,0.5505321664764937,27952,3316480
DC,58.44540368478543,21.55015276727573,0.6312772021645615,31736,3930944
DE,33.38266419508311,17.393285631106252,0.47897251311451383,8365,1211821
FL,59.286134640117176,34.60952870000967,0.4162289562289928,235634,25456177
GA,51.434443556091786,29.457494292859987,0.4272807819776422,124987,17451541
HI,112.70809720408546,70.1403380444051,0.3776814640265026,22008,1601695
IA,38.23193133690754,24.492554167141954,0.359369163139874,28029,2289918
ID,53.60884459771124,34.07493330977127,0.3643785169131205,9808,898792
IL,41.94819495069937,18.96533134007556,0.547886831307878,125461,12949847
IN,34.69080043309182,19.304210646330112,0.44353516190662245,65978,6193418
KS,50.43934257446612,23.671106666034675,0.5307015227034761,30243,2428757
KY,33.98944052289467,16.4824335915622,0.5150719359308097,40225,3836294
LA,36.531912559993316,21.648925502753364,0.4073968761640624,57381,9952484
MA,43.503374410346595,18.58906312738415,0.5726983623835158,71070,7336469
MD,34.935004180352145,14.808869592970478,0.5761022521560435,65735,8901229
ME,46.419669411027186,27.192573107366663,0.41420149147148055,7685,806758
MI,42.78898669585784,22.116880730017026,0.48311744591609973,80068,8263503
MN,47.750833878445555,23.23138556901789,0.5134873324274155,44258,4006315
MO,39.889500100492576,20.486463509325702,0.48641964783427494,52260,5048957
MS,39.62608360557184,25.591801908626557,0.35416777082083173,23781,3281451
MT,52.462111284448625,32.233175483428454,0.38559134022150277,5384,459599
NC,39.89048912740734,20.318409080717096,0.49064527597489305,99777,11653366
ND,48.93909186642486,22.503915524598092,0.5401648321137499,5658,411554
NE,40.662392866608045,21.255223115838017,0.4772756442158915,20157,1467805
NH,41.96737998216642,21.663411347873208,0.4838035789444364,8978,861932
NJ,37.234712330830476,15.535980846322808,0.5827554485103686,80523,8904396
NM,44.868341264316875,25.53812886633495,0.43082074918055757,14618,1552449
NV,62.71592367466395,34.3293877294566,0.45262087013915697,50143,5486689
NY,53.324196268658824,25.72888340347768,0.5175007744354925,242155,28880145
New York City,63.98296487783529,31.247330665271498,0.5116304671886803,155685,17167741
OH,34.21993410380471,16.703167431155755,0.5118877967301921,122965,13100563
OK,40.441416497631266,27.959089457814216,0.308652073068414,37166,3603218
OR,53.96001263158621,24.09815550347795,0.553407155998852,37032,4389857
PA,42.14399640179722,19.544916714831995,0.5362348523264749,112607,13251851
PR,35.302688642961,20.6342077037194,0.4155060564251485,7203,847578
RI,34.362418934106714,14.694807803482751,0.5723581674601699,9975,1123203
SC,36.78018221880494,20.161436297187628,0.45183968428303467,42592,4759042
SD,49.7966769777376,28.82154633900808,0.4212154688174632,6163,468837
TN,42.640279236025016,22.419582781913995,0.4742158545018952,73007,7825993
TX,55.99997195336763,29.08943092560047,0.48054561616881053,403739,47146772
UT,50.61757401393349,24.293294337220395,0.5200620572899606,24017,2130241
United States,49.80988069430101,25.519609198476513,0.48765970038959894,3709529,391784388
VA,44.224972728517734,20.83303346787547,0.5289305525237411,83825,10239415
VI,100.910914825643,63.85603047674577,0.367203928464248,692,47882
VT,41.185897795596944,17.51363707478261,0.5747661696801729,3890,399275
WA,55.74137012637237,22.987696639466655,0.5876007965475052,67787,7169355
WI,42.7795106934352,22.829514674903123,0.46634465180064666,35450,3460680
WV,36.24790529146402,22.1752155890637,0.38823456388014466,14139,1200049
WY,53.09924770315302,41.66301929359146,0.21537458446671132,3086,292221
