location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
AK,109.76144639436662,25.467164619600357,76.80%,99.84%,63.73%,5725,661669
AL,48.03968539204082,22.565072655231408,53.03%,84.47%,72.94%,43780,6255899
AR,50.537232852504076,23.14988882603378,54.19%,91.87%,76.81%,22497,2737388
AZ,62.84883170528742,23.469585935094727,62.66%,93.69%,85.55%,75815,9268724
CA,78.58338269543576,29.600802444723705,62.33%,96.65%,91.35%,535140,68550769
CO,72.22838318040047,24.472444054651287,66.12%,98.23%,93.37%,53798,6094072
CT,45.512976679431176,14.892338694451023,67.28%,96.29%,89.25%,28972,3961737
DC,77.66835934895407,19.741361314840102,74.58%,100.00%,97.75%,32191,4606390
DE,43.63077522124488,13.608731966608207,68.81%,93.44%,85.08%,8679,1429611
FL,76.99076539425305,32.2368657807552,58.13%,92.38%,82.92%,241763,30307268
GA,65.63691577840407,27.108924990746,58.70%,85.26%,78.00%,129135,20642794
HI,147.60836103159156,70.74838763491287,52.07%,97.69%,89.21%,22512,1946086
IA,50.42223811391209,20.586992152570968,59.17%,95.91%,89.82%,28816,2824370
ID,70.76649048938377,33.35900864617017,52.86%,94.12%,78.19%,10125,1112566
IL,55.59070503818567,19.375856763132475,65.15%,98.71%,93.01%,129314,15603430
IN,45.86190141333212,17.15211608536421,62.60%,97.19%,89.61%,67995,7564478
KS,65.49881292231943,23.18521061418775,64.60%,97.03%,81.57%,31119,3007672
KY,44.674788021705496,15.30530910115218,65.74%,93.93%,83.42%,41627,4684456
LA,45.98381586059187,19.390306448073574,57.83%,86.13%,77.76%,58921,11463888
MA,58.68692902641012,17.63575969302902,69.95%,98.83%,93.93%,73348,8782896
MD,46.095188837344125,15.194818462493442,67.04%,94.80%,88.67%,68371,10512341
ME,59.681598723003006,22.453855383141804,62.38%,93.77%,78.53%,7856,968354
MI,56.239242685900955,20.964221507151287,62.72%,96.84%,90.42%,82747,9998383
MN,64.00883740883859,21.678960953213316,66.13%,98.36%,91.34%,45705,4879975
MO,52.270869214706096,20.07502963455075,61.59%,95.89%,88.65%,53921,6131381
MS,50.23717802823006,24.359489357958473,51.51%,79.09%,69.11%,24526,3843533
MT,69.92529396818867,32.96040265846467,52.86%,90.17%,65.58%,5501,554614
NC,52.1098088941026,19.72880403578921,62.14%,94.27%,85.26%,102963,13910727
ND,65.77245184576857,23.652834223950602,64.04%,99.71%,97.21%,5798,513903
NE,55.11480220066965,21.88411008641436,60.29%,99.95%,91.40%,20798,1851937
NH,55.09358934096529,19.480553459743938,64.64%,96.26%,85.35%,9269,1047561
NJ,49.27188549716373,14.617789581262041,70.33%,97.28%,93.41%,83816,10711837
NM,58.19929741962975,24.227551255684368,58.37%,95.66%,73.14%,15054,1883387
NV,80.24944028651848,33.18974892382134,58.64%,93.42%,85.00%,51672,6586094
NY,71.17441771314493,24.568357239738994,65.48%,98.94%,94.20%,249141,34261316
OH,44.878023754753734,15.730109554285374,64.95%,94.81%,88.68%,126882,15829488
OK,52.34430590981062,24.693189269558378,52.83%,88.38%,76.99%,38294,4384544
OR,71.12222238557167,25.96737125048534,63.49%,97.51%,92.68%,38075,5230964
PA,54.39555473104842,19.45034957462507,64.24%,97.59%,89.85%,116118,15791532
PR,44.9563416810021,14.938452319831224,66.77%,97.26%,90.38%,7387,1014591
RI,46.80292853388361,14.502757609779621,69.01%,96.74%,90.55%,10331,1353481
SC,48.27776420184152,19.852374771026835,58.88%,86.03%,77.92%,43916,5665114
SD,68.40851862531453,31.523393962367887,53.92%,95.91%,86.66%,6314,580943
TN,56.77220085973427,21.826556189903865,61.55%,94.89%,85.89%,75010,9431906
TX,73.23567655518382,28.59832972880896,60.95%,93.81%,84.18%,416711,56702462
UT,68.42785653519388,23.617621166966796,65.49%,93.56%,91.50%,24741,2594089
VA,57.369020616766264,22.332593296572632,61.07%,95.62%,87.51%,86567,12160437
VI,132.15857027865766,47.57175303833798,64.00%,98.66%,87.72%,691,63720
VT,56.839859813811806,20.333842276970245,64.23%,96.35%,86.70%,4028,483523
WA,75.34085119444038,21.314006363236693,71.71%,98.43%,95.72%,69751,8611254
WI,56.32362797197269,22.67846920576449,59.74%,96.88%,91.75%,36738,4211166
WV,46.59267735555377,20.02457490506119,57.02%,88.95%,82.40%,14481,1487614
WY,71.6362998021415,44.03009409642347,38.54%,84.95%,50.90%,3219,355031
United States,65.5874910638123,25.035349346797023,61.83%,95.86%,88.36%,3768881,469666621
